"sample","run","plate","type","gel_band","concentration","reads_total","conv_P.N","qPCR_score","average_Ct","qPCR_inhibition","qPCR_degradation","GCNreads","mbNT_GCN","qPCR_thresh1","qPCR_thresh4","Anas_carolinensis","Anguilla_anguilla","Ardea_cinerea","Arvicola_amphibius","Barbatula_barbatula","Barbus_barbus","Bos_taurus","Bufo_bufo","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_carduelis","Cervus_elaphus","Clupea_harengus","Cottus_gobio","Cyprinus_carpio","Dendrocopos_major","Equus_caballus","Esox_lucius","Felis_catus","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Gasterosteus_aculeatus","Gymnocephalus_cernua","Haematopus_ostralegus","Hippolais_polyglotta","Homo_sapiens","Lepus_europaeus","Lissotriton_helveticus","Lissotriton_vulgaris","Lutra_lutra","Meleagris_gallopavo","Meles_meles","Muntiacus_reevesi","Mus_musculus","Mustela_putorius","Myodes_glareolus","Neomys_fodiens","Numida_meleagris","Oncorhynchus_mykiss","Oryctolagus_cuniculus","Ovis_aries","Pelophylax_ridibundus","Phasianus_colchicus","Phoxinus_phoxinus","Picus_viridis","Pipistrellus_pipistrellus","Prunella_modularis","Pungitius_pungitius","Rana_temporaria","Rattus_norvegicus","Rhamphochromis_esox","Rutilus_rutilus","Sciurus_carolinensis","Sitta_europaea","Sorex_araneus","Squalius_cephalus","Strix_aluco","Sturnus_vulgaris","Sus_scrofa","Triturus_cristatus","Vulpes_vulpes","mbTA_GCN"
"F1","Run 1",1,"FERA","Yes",3.07,61764,"N",1,41.5,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13146,0,0,0,0,0,10809,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"F10","Run 1",1,"FERA","Yes",6.28,33168,"P",12,33.5,"No","No",9035,"P","P","P",0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,10121,0,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,2010,0,0,0,303,0,0,123,9035,0,"P"
"F100","Run 1",2,"FERA","Yes",3.96,38458,"N",1,40.8,"No","No",0,"N","P","N",0,2503,0,0,0,0,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4164,0,0,0,0,0,"N"
"F101","Run 1",2,"FERA","Yes",20.9,67136,"N",1,45.8,"No","No",0,"N","P","N",0,0,0,0,0,0,49317,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,456,0,0,0,0,0,0,0,0,0,"N"
"F102","Run 1",2,"FERA","Yes",8.43,51797,"N",11,40.3,"No","No",0,"N","P","P",0,0,0,0,0,0,24787,0,0,0,0,0,0,0,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639,0,0,0,0,0,0,0,0,0,2856,0,0,0,0,3522,0,0,2019,0,0,"N"
"F103","Run 1",2,"FERA","Yes",3.93,35800,"N",12,38.9,"No","No",3131,"P","P","P",0,0,0,0,0,0,274,0,0,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,365,0,0,0,0,0,3131,0,"P"
"F104","Run 1",2,"FERA","Yes",2.8,39694,"N",2,41.4,"No","No",0,"N","P","N",0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,6769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"F105","Run 1",2,"FERA","Yes",5.81,41195,"N",2,40,"No","No",0,"N","P","N",0,0,0,0,0,0,35246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,506,0,0,0,0,0,0,0,0,0,"N"
"F106","Run 1",2,"FERA","Yes",2.14,32383,"N",11,39,"No","No",1057,"P","P","P",0,0,0,0,0,0,3178,0,0,5439,0,0,0,0,0,0,0,0,0,0,8504,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,1098,1057,0,"P"
"F107","Run 1",2,"FERA","Yes",1.42,25869,"N",12,37.3,"No","No",1906,"P","P","P",0,1115,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306,993,0,0,0,0,0,0,0,1906,0,"P"
