sample,run,plate,type,gel_band,concentration,reads_total
N1.1,Run 1,1,Negative,No,0,734
N1.2,Run 1,1,Negative,Yes,0.71,5852
N1.3,Run 1,1,Negative,Yes,5.06,21300
N1.4,Run 1,1,Negative,Yes,1.42,13965
N1.5,Run 1,1,Negative,No,0.94,596
N1.6,Run 1,1,Negative,No,0.74,137
N10.1,Run 1,4,Negative,No,0.13,0
N10.2,Run 1,4,Negative,No,0.28,41
N10.3,Run 1,4,Negative,No,0.14,220
N2.1,Run 1,1,Negative,No,0.33,96
N2.2,Run 1,1,Negative,No,0.47,1915
N2.3,Run 1,1,Negative,Yes,0.69,6213
N2.4,Run 1,1,Negative,Yes,0.63,9645
N2.5,Run 1,1,Negative,No,0.37,48
N2.6,Run 1,1,Negative,No,0,39
N3.1,Run 1,1,Negative,No,0.33,60
N3.2,Run 1,2,Negative,No,3.67,19
N3.3,Run 1,2,Negative,No,2.17,53
N3.4,Run 1,2,Negative,No,5.63,40
N3.5,Run 1,2,Negative,No,3.65,12
N3.6,Run 1,2,Negative,No,2.62,388
N4.1,Run 1,2,Negative,No,1.51,12
N4.2,Run 1,2,Negative,No,2.02,29910
N4.3,Run 1,2,Negative,No,0.23,38
N4.4,Run 1,2,Negative,No,0.23,1782
N4.5,Run 1,2,Negative,No,0.62,6
N4.6,Run 1,2,Negative,No,0.11,14
N5.1,Run 1,2,Negative,Yes,0.92,7087
N5.2,Run 1,2,Negative,Yes,0.53,1063
N5.3,Run 1,3,Negative,Yes,1.12,12570
N5.4,Run 1,3,Negative,Yes,1.05,12292
N5.5,Run 1,3,Negative,Yes,1.56,21718
N5.6,Run 1,3,Negative,No,0.12,76
N6.1,Run 1,3,Negative,No,0.25,25
N6.2,Run 1,3,Negative,No,0.27,61
N6.3,Run 1,3,Negative,No,0.22,44
N6.4,Run 1,3,Negative,No,0.17,20
N6.5,Run 1,3,Negative,No,0.62,342
N6.6,Run 1,3,Negative,No,0.28,6942
N7.1,Run 1,3,Negative,Yes,1.57,31012
N7.2,Run 1,3,Negative,Yes,0.91,9712
N7.3,Run 1,3,Negative,Yes,0.98,14404
N7.4,Run 1,3,Negative,No,0.79,361
N7.5,Run 1,3,Negative,Yes,1.54,21949
N7.6,Run 1,3,Negative,Yes,1.22,26114
N8.1,Run 1,4,Negative,No,0.11,29
N8.2,Run 1,4,Negative,No,0,16
N8.3,Run 1,4,Negative,No,0.7,10
N8.4,Run 1,4,Negative,No,0.74,22
N8.5,Run 1,4,Negative,Yes,3.55,18097
N8.6,Run 1,4,Negative,No,0.87,34
N9.1,Run 1,4,Negative,Yes,0.79,15996
N9.2,Run 1,4,Negative,No,0.09,53
N9.3,Run 1,4,Negative,Yes,0.86,14803
N9.4,Run 1,4,Negative,No,0.49,25
N9.5,Run 1,4,Negative,No,0.44,66
N9.6,Run 1,4,Negative,No,0.15,16
P1.1,Run 1,1,Positive,Yes,5,56536
P1.2,Run 1,1,Positive,Yes,5,42302
P1.3,Run 1,1,Positive,Yes,5,57578
P1.4,Run 1,1,Positive,Yes,5,80854
P1.5,Run 1,1,Positive,Yes,5,74508
P1.6,Run 1,1,Positive,Yes,5,57812
P10.1,Run 1,4,Positive,Yes,1.13,40239
P10.2,Run 1,4,Positive,Yes,3.72,52227
P10.3,Run 1,4,Positive,Yes,4.16,59038
P2.1,Run 1,1,Positive,Yes,5,22490
P2.2,Run 1,1,Positive,Yes,5,41795
P2.3,Run 1,1,Positive,Yes,5,28173
P2.4,Run 1,1,Positive,Yes,5,22448
P2.5,Run 1,1,Positive,No,5,78
P2.6,Run 1,1,Positive,No,5,68
P3.1,Run 1,1,Positive,Yes,5,35263
P3.2,Run 1,2,Positive,Yes,5,2904
P3.3,Run 1,2,Positive,Yes,5,6583
P3.4,Run 1,2,Positive,Yes,5,4984
P3.5,Run 1,2,Positive,Yes,5,5291
P3.6,Run 1,2,Positive,Yes,5,5901
P4.1,Run 1,2,Positive,Yes,5,4650
P4.2,Run 1,2,Positive,Yes,5,33614
P4.3,Run 1,2,Positive,Yes,5,7193
P4.4,Run 1,2,Positive,No,5,48265
P4.5,Run 1,2,Positive,Yes,5,42614
P4.6,Run 1,2,Positive,Yes,5,43792
P5.1,Run 1,2,Positive,Yes,5,45902
P5.2,Run 1,2,Positive,Yes,5,36808
P5.3,Run 1,3,Positive,Yes,5,26858
P5.4,Run 1,3,Positive,Yes,5,36609
P5.5,Run 1,3,Positive,Yes,5,52561
P5.6,Run 1,3,Positive,Yes,5,30746
P6.1,Run 1,3,Positive,Yes,5,50997
P6.2,Run 1,3,Positive,Yes,5,36214
P6.3,Run 1,3,Positive,Yes,5,41409
P6.4,Run 1,3,Positive,Yes,5,47662
P6.5,Run 1,3,Positive,Yes,5,58728
P6.6,Run 1,3,Positive,Yes,5,61151
P7.1,Run 1,3,Positive,Yes,5,55422
P7.2,Run 1,3,Positive,Yes,5,57450
P7.3,Run 1,3,Positive,Yes,5,44143
P7.4,Run 1,3,Positive,Yes,5,30474
P7.5,Run 1,3,Positive,Yes,5,59808
P7.6,Run 1,3,Positive,Yes,5,47569
P8.1,Run 1,3,Positive,Yes,5,59249
P8.2,Run 1,4,Positive,No,0,38
P8.3,Run 1,4,Positive,Yes,5,57145
P8.4,Run 1,4,Positive,Yes,5,40325
P8.5,Run 1,4,Positive,Yes,5,55918
P8.6,Run 1,4,Positive,Yes,5,9216
P9.1,Run 1,4,Positive,Yes,5,36948
P9.2,Run 1,4,Positive,Yes,5,42433
P9.3,Run 1,4,Positive,Yes,5,46118
P9.4,Run 1,4,Positive,Yes,5,50471
P9.5,Run 1,4,Positive,Yes,5,53218
P9.6,Run 1,4,Positive,Yes,5,48477
N10.4,Run 2,5,Negative,No,0,782
N10.5,Run 2,5,Negative,No,0,17
N10.6,Run 2,5,Negative,No,0,22
N11.1,Run 2,5,Negative,No,0,14
N11.2,Run 2,5,Negative,No,0,22
N11.3,Run 2,5,Negative,Yes,0,1482
N11.4,Run 2,5,Negative,No,1.26,8
N11.5,Run 2,6,Negative,Yes,0,2109
N11.6,Run 2,6,Negative,No,0,24
N12.1,Run 2,6,Negative,No,0.91,5
N12.2,Run 2,6,Negative,No,0.14,0
N12.3,Run 2,6,Negative,No,0.2,5
N12.4,Run 2,6,Negative,No,0.29,20
N12.5,Run 2,6,Negative,No,0.28,5
N12.6,Run 2,6,Negative,No,0.17,12
N13.1,Run 2,6,Negative,No,0,6
N13.2,Run 2,6,Negative,Yes,3.76,49498
N13.3,Run 2,6,Negative,Yes,0.42,1242
N13.4,Run 2,6,Negative,Yes,0.76,3697
N13.5,Run 2,6,Negative,No,0,39
N13.6,Run 2,6,Negative,No,0,43
N14.1,Run 2,6,Negative,No,0,28
N14.2,Run 2,6,Negative,No,1.38,654
N14.3,Run 2,6,Negative,No,0.27,24
N14.4,Run 2,7,Negative,No,0.26,11
N14.5,Run 2,7,Negative,No,0.44,470
N14.6,Run 2,7,Negative,No,0.45,26
N15.1,Run 2,7,Negative,No,0,26
N15.2,Run 2,7,Negative,No,0.38,43
N15.3,Run 2,7,Negative,No,0.04,432
N15.4,Run 2,7,Negative,No,0,13
N15.5,Run 2,7,Negative,No,0.53,73
N15.6,Run 2,7,Negative,No,0.15,56
