sample,run,plate,type,gel_band,concentration,reads_total,conv_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation,GCNreads,mbNT_GCN
F100,Run 1,2,FERA,Yes,3.96,38458,N,1,40.8,No,No,0,N
F101,Run 1,2,FERA,Yes,20.9,67136,N,1,45.8,No,No,0,N
F102,Run 1,2,FERA,Yes,8.43,51797,N,11,40.3,No,No,0,N
F103,Run 1,2,FERA,Yes,3.93,35800,N,12,38.9,No,No,3131,P
F104,Run 1,2,FERA,Yes,2.8,39694,N,2,41.4,No,No,0,N
F105,Run 1,2,FERA,Yes,5.81,41195,N,2,40,No,No,0,N
F106,Run 1,2,FERA,Yes,2.14,32383,N,11,39,No,No,1057,P
F107,Run 1,2,FERA,Yes,1.42,25869,N,12,37.3,No,No,1906,P
F108,Run 1,2,FERA,Yes,12.9,36264,N,2,39.5,No,No,256,P
F109,Run 1,2,FERA,No,0.16,24,N,8,40.6,No,No,0,N
F10,Run 1,1,FERA,Yes,6.28,33168,P,12,33.5,No,No,9035,P
F110,Run 1,2,FERA,Yes,1.98,41397,N,8,40.6,No,No,3059,P
F111,Run 1,2,FERA,Yes,16.6,48207,N,8,39,No,No,0,N
F112,Run 1,2,FERA,Yes,8.93,47851,N,12,36.2,No,No,5721,P
F113,Run 1,2,FERA,Yes,8.56,47088,N,2,41.7,No,No,0,N
F114,Run 1,2,FERA,Yes,6.87,48399,P,12,38.4,No,No,7647,P
F115,Run 1,2,FERA,Yes,12.8,44418,N,2,40.3,No,No,0,N
F116,Run 1,2,FERA,Yes,1.58,28370,N,11,40.5,No,No,1874,P
F117,Run 1,3,FERA,Yes,20.3,44850,N,10,40.4,No,No,286,P
F118,Run 1,3,FERA,Yes,20.9,61872,N,11,39.4,No,No,80,P
F119,Run 1,3,FERA,Yes,32.8,56198,N,4,41,No,No,0,N
F11,Run 1,1,FERA,Yes,4.31,29086,P,3,40.3,No,No,0,N
F120,Run 1,3,FERA,Yes,18.9,34271,N,12,35,No,No,8514,P
F121,Run 1,3,FERA,Yes,3.19,47035,N,3,42,No,No,8,P
F122,Run 1,3,FERA,Yes,6.91,41987,P,6,39.8,No,No,8965,P
F123,Run 1,3,FERA,Yes,13.2,45767,N,4,40.2,No,No,471,P
F124,Run 1,3,FERA,Yes,5.76,51631,N,12,39.3,No,No,2904,P
F125,Run 1,3,FERA,Yes,2.9,24,N,1,40.7,No,No,0,N
F126,Run 1,3,FERA,Yes,0.22,53523,N,10,40.5,No,No,761,P
F127,Run 1,3,FERA,Yes,0.18,51734,N,2,39.9,No,No,0,N
F128,Run 1,3,FERA,No,0.21,61,N,12,37.9,No,No,0,N
F129,Run 1,3,FERA,Yes,5.19,74512,N,3,41.1,No,No,1303,P
F12,Run 1,1,FERA,Yes,25.6,73757,P,4,39.4,No,No,442,P
F130,Run 1,3,FERA,Yes,7.85,52057,N,2,42.4,No,No,0,N
F131,Run 1,3,FERA,Yes,14.8,47764,N,12,39.7,No,No,2863,P
F132,Run 1,3,FERA,Yes,32,40835,N,12,34.4,No,No,38343,P
F133,Run 1,3,FERA,Yes,3.44,31422,P,3,41,No,No,0,N
F134,Run 1,3,FERA,Yes,7.94,38422,N,1,39.9,No,No,0,N
F135,Run 1,3,FERA,Yes,4.97,48435,N,1,52,No,No,6,P
F136,Run 1,3,FERA,Yes,8.36,41447,P,11,39.9,No,No,0,N
F137,Run 1,3,FERA,Yes,11.5,43372,N,12,37.6,No,No,1850,P
F138,Run 1,3,FERA,Yes,15,52202,N,5,40,No,No,3427,P
F139,Run 1,3,FERA,Yes,0,46239,N,1,40.5,No,No,5,P
F13,Run 1,1,FERA,Yes,0.52,607189,N,1,39.6,No,No,0,N
