sample,Barcode,Pond_ID,Device,County,Easting,Northing,Survey_ID,PilotArea,Max_Depth,Approx_Circ,Max_Width,Max_Length,Pond_Area,Pond_Density,Overhang,Shading,Macrophytes,HSI,Permanance,Quality,Pond_Substrate,Inflow,Outflow,Pollution,Amphibians,Waterfowl,Fish,Woodland,Rough_Grass,Scrub_Hedge,Ruderals,Terrestrial_Other,Overall_Habitat_Score,HSI_Band,ESRI_OID
F1,S14-024005,SJ65NW_721,T20,Cheshire,360636.34,358800.06,T5-40,"Nantwich, Cheshire",1,208,10,94,940,3.82,90,70,0,0.723461134,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Some,None,Important,Important,Moderate,Good,162
F10,S14-023853,SJ65NW_694,T16,Cheshire,364573.63,357934.38,T1-44,"Nantwich, Cheshire",3,60,15,15,225,9.87,0,0,10,0.492770312,Never dries,Bad,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,Some,Moderate,Poor,151
F100,S14-024341,SJ55NE_611,T20,Cheshire,357480.25,355534.76,T1-93,"Nantwich, Cheshire",1.5,115,26,31,800,7.01,80,80,10,0.650248047,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Important,None,None,Poor,Average,44
F101,S14-024378,SJ65NW_864,T18,Cheshire,361533.01,358664.5,T5-62,"Nantwich, Cheshire",1,108,20,34,680,11.15,0,0,80,0.7616133,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Good,199
F102,S14-024755,SJ64NW_227,T18,Cheshire,363733.59,349900.2,T4-52,"Nantwich, Cheshire",0.5,95,26,28,650,3.18,10,10,30,0.830178525,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Some,Some,Some,Moderate,Excellent,94
F103,S14-023794,SJ66SW_1048,T18,Cheshire,362561.54,360353.92,T1-18,"Nantwich, Cheshire",1.2,34,7,10,70,16.56,60,70,10,0.66488653,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,Some,None,Important,Good,Average,288
F104,S14-024144,TF17NW_211,T21,Lincoln,510612.8,378887.47,T26-10,"Wragby, Lincolnshire",1,36,19,16,300,4.14,100,100,0,0.552001831,Rarely dries,Poor,Not known,Present,Absent,Absent,None,Absent,Possible,None,Some,Some,None,None,Poor,Below Average,360
F105,S14-024313,SJ64NW_182,T16,Cheshire,363226.06,349195.85,T4-32,"Nantwich, Cheshire",0.4,155,35,50,1300,22.93,80,90,0,0.660577048,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Some,Some,Some,Moderate,Average,86
F106,S14-024360,SJ66SW_1132,T18,Cheshire,360579.37,360525.81,T5-91,"Nantwich, Cheshire",1.5,148,24,50,1200,18.79,10,0,10,0.478315198,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Major,Absent,None,None,Important,None,None,Poor,Poor,298
F107,S14-024148,TF17NE_58,T29,Lincoln,515992.91,377481.49,T6-67,"Wragby, Lincolnshire",2,57,10,20,200,7.64,10,10,10,0.720874221,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Important,Important,Some,None,Moderate,Good,336
F108,S14-024337,SJ65SW_1138,T16,Cheshire,364949.84,354471.71,T10-107,"Nantwich, Cheshire",2,240,40,80,1600,12.42,30,30,40,0.793548429,Never dries,Moderate,Not known,Absent,Absent,Absent,None,Minor,Possible,Some,None,Important,Some,Some,Moderate,Good,209
F109,S14-025240,SJ64NE_11,T16,Cheshire,367549.77,348391.42,T4-64,"Nantwich, Cheshire",0.6,150,21,52,1050,8.28,40,60,10,0.68148156,Never dries,Poor,Clay,Present,Absent,Absent,None,Minor,Absent,Some,None,Some,None,Some,Poor,Average,61
F11,S14-023773,SJ65NW_655,T16,Cheshire,363362.49,359065.76,T19-30,"Nantwich, Cheshire",1.5,100,13,36,400,0.96,0,0,20,0.752821592,Never dries,Moderate,Clay,Absent,Present,Absent,None,Minor,Absent,None,None,Some,None,None,Moderate,Good,142
F110,S14-024372,SJ66SW_1131,T18,Cheshire,360430.18,360429.81,T5-90,"Nantwich, Cheshire",1.5,220,46,64,2944,18.47,30,20,20,0.438544362,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Major,Possible,None,None,Important,None,None,Poor,Poor,297
F111,S14-024301,SJ65NW_851,T18,Cheshire,363024.87,359901.05,T1-54,"Nantwich, Cheshire",2.5,60,10,20,200,10.19,50,60,0,0.738851801,Never dries,Moderate,Clay,Present,Absent,Absent,Smooth ad,Absent,Absent,Some,None,Important,None,None,Moderate,Good,194
F112,S14-024191,TF17NW_290,T25,Lincoln,510553.32,378787.39,T26-9,"Wragby, Lincolnshire",1,48,15,20,250,11.78,10,20,30,0.690289639,Never dries,Moderate,Not known,Present,Present,Absent,None,Minor,Possible,None,None,Some,None,None,Poor,Average,402
F113,S14-024365,TQ83NE_688,T14,Kent,585275.75,138144.7,T25-149,"Ashford, Kent",1,150,40,60,2300,34.39,20,30,100,0.81531357,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,Important,None,None,Poor,Excellent,553
