sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F100,Run 1,2,FERA,Yes,3.96,38458,N,1,40.8,No,No
F101,Run 1,2,FERA,Yes,20.90,67136,N,1,45.8,No,No
F102,Run 1,2,FERA,Yes,8.43,51797,P,11,40.3,No,No
F103,Run 1,2,FERA,Yes,3.93,35800,P,12,38.9,No,No
F104,Run 1,2,FERA,Yes,2.80,39694,N,2,41.4,No,No
F105,Run 1,2,FERA,Yes,5.81,41195,N,2,40.0,No,No
F106,Run 1,2,FERA,Yes,2.14,32383,P,11,39.0,No,No
F107,Run 1,2,FERA,Yes,1.42,25869,P,12,37.3,No,No
F108,Run 1,2,FERA,Yes,12.90,36264,N,2,39.5,No,No
F109,Run 1,2,FERA,No,0.16,24,P,8,40.6,No,No
F10,Run 1,1,FERA,Yes,6.28,33168,P,12,33.5,No,No
F110,Run 1,2,FERA,Yes,1.98,41397,P,8,40.6,No,No
F111,Run 1,2,FERA,Yes,16.60,48207,P,8,39.0,No,No
F112,Run 1,2,FERA,Yes,8.93,47851,P,12,36.2,No,No
F113,Run 1,2,FERA,Yes,8.56,47088,N,2,41.7,No,No
F114,Run 1,2,FERA,Yes,6.87,48399,P,12,38.4,No,No
F115,Run 1,2,FERA,Yes,12.80,44418,N,2,40.3,No,No
F116,Run 1,2,FERA,Yes,1.58,28370,P,11,40.5,No,No
F117,Run 1,3,FERA,Yes,20.30,44850,P,10,40.4,No,No
F118,Run 1,3,FERA,Yes,20.90,61872,P,11,39.4,No,No
F119,Run 1,3,FERA,Yes,32.80,56198,P,4,41.0,No,No
F11,Run 1,1,FERA,Yes,4.31,29086,P,3,40.3,No,No
F120,Run 1,3,FERA,Yes,18.90,34271,P,12,35.0,No,No
F121,Run 1,3,FERA,Yes,3.19,47035,P,3,42.0,No,No
F122,Run 1,3,FERA,Yes,6.91,41987,P,6,39.8,No,No
F123,Run 1,3,FERA,Yes,13.20,45767,P,4,40.2,No,No
F124,Run 1,3,FERA,Yes,5.76,51631,P,12,39.3,No,No
F125,Run 1,3,FERA,Yes,2.90,24,N,1,40.7,No,No
F126,Run 1,3,FERA,Yes,0.22,53523,P,10,40.5,No,No
F127,Run 1,3,FERA,Yes,0.18,51734,N,2,39.9,No,No
F128,Run 1,3,FERA,No,0.21,61,P,12,37.9,No,No
F129,Run 1,3,FERA,Yes,5.19,74512,P,3,41.1,No,No
F12,Run 1,1,FERA,Yes,25.60,73757,P,4,39.4,No,No
