SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F1	12S	SRR6285413	SAMN08011589	PRJNA417951
F10	12S	SRR6285412	SAMN08011590	PRJNA417951
F100	12S	SRR6285411	SAMN08011591	PRJNA417951
F101	12S	SRR6285410	SAMN08011592	PRJNA417951
F102	12S	SRR6285761	SAMN08011593	PRJNA417951
F103	12S	SRR6285760	SAMN08011594	PRJNA417951
F104	12S	SRR6285407	SAMN08011595	PRJNA417951
F105	12S	SRR6285406	SAMN08011596	PRJNA417951
F106	12S	SRR6285658	SAMN08011597	PRJNA417951
F107	12S	SRR6285611	SAMN08011598	PRJNA417951
F108	12S	SRR6285921	SAMN08011599	PRJNA417951
F109	12S	SRR6285920	SAMN08011600	PRJNA417951
F11	12S	SRR6285923	SAMN08011601	PRJNA417951
F110	12S	SRR6285922	SAMN08011602	PRJNA417951
F111	12S	SRR6285917	SAMN08011603	PRJNA417951
F112	12S	SRR6285916	SAMN08011604	PRJNA417951
F113	12S	SRR6285919	SAMN08011605	PRJNA417951
F114	12S	SRR6285918	SAMN08011606	PRJNA417951
F115	12S	SRR6285925	SAMN08011607	PRJNA417951
F116	12S	SRR6285924	SAMN08011608	PRJNA417951
F117	12S	SRR6285694	SAMN08011609	PRJNA417951
F118	12S	SRR6285695	SAMN08011610	PRJNA417951
F119	12S	SRR6285696	SAMN08011611	PRJNA417951
F12	12S	SRR6285697	SAMN08011612	PRJNA417951
F120	12S	SRR6285698	SAMN08011613	PRJNA417951
F121	12S	SRR6285699	SAMN08011614	PRJNA417951
F122	12S	SRR6285700	SAMN08011615	PRJNA417951
F123	12S	SRR6285701	SAMN08011616	PRJNA417951
F124	12S	SRR6285692	SAMN08011617	PRJNA417951
F125	12S	SRR6285693	SAMN08011618	PRJNA417951
F126	12S	SRR6285550	SAMN08011619	PRJNA417951
F127	12S	SRR6285549	SAMN08011620	PRJNA417951
F128	12S	SRR6285548	SAMN08011621	PRJNA417951
F129	12S	SRR6285547	SAMN08011622	PRJNA417951
